test_name,n,t_total,t_avg
make_node,      20,0.038094,0.0019047
add_new_edge,      10,0.020055,0.0020055
add_delete_e,      10,0.071789,0.0071789
connected,      10,0.003608,0.0003608
make_node,     200,0.116517,0.000582585
add_new_edge,     100,0.144835,0.00144835
add_delete_e,     100,0.492222,0.00492222
connected,     100, 0.05712,0.0005712
make_node,    2000,0.930507,0.000465254
add_new_edge,    1000,  1.5559,0.0015559
add_delete_e,    1000, 4.32839,0.00432839
connected,    1000,0.351247,0.000351247
make_node,   20000, 5.87692,0.000293846
add_new_edge,   10000, 8.15594,0.000815594
add_delete_e,   10000, 29.5775,0.00295775
connected,   10000, 4.44629,0.000444629
make_node,  200000, 45.1784,0.000225892
add_new_edge,  100000, 61.9874,0.000619874
add_delete_e,  100000, 223.429,0.00223429
connected,  100000, 40.9928,0.000409928
make_node, 2000000, 389.529,0.000194764
add_new_edge, 1000000, 811.969,0.000811969
add_delete_e, 1000000, 2665.18,0.00266518
connected, 1000000, 981.326,0.000981326
